бинарный чёрно- котевич зелёный- красивый- сложный- полосатый- AVL- квадратичный- котик котёнок пушистый- котовский параллельный- красно- синий-
0 3 7 0 0 0 0 0 0 0 0 0 0 0 0 0 
3 0 0 0 0 0 0 0 0 0 0 0 0 4 3 0 
7 0 0 2 0 0 0 0 0 8 9 0 0 0 0 0 
0 0 2 0 4 2 5 0 0 0 0 0 6 0 10 9 
0 0 0 4 0 6 0 0 0 0 3 0 0 0 0 0 
0 0 0 2 6 0 0 4 0 0 0 0 0 0 0 0 
0 0 0 5 0 0 0 1 2 0 0 4 8 0 0 0 
0 0 0 0 0 4 1 0 0 0 0 2 0 0 0 0 
0 0 0 0 0 0 2 0 0 0 0 3 5 0 0 0 
0 0 8 0 0 0 0 0 0 0 0 0 0 4 0 8 
0 0 9 0 3 0 0 0 0 0 0 0 0 0 0 0 
0 0 0 0 0 0 4 2 3 0 0 0 0 0 0 0 
0 0 0 6 0 0 8 0 5 0 0 0 0 0 7 0 
0 4 0 0 0 0 0 0 0 4 0 0 0 0 0 1 
0 3 0 10 0 0 0 0 0 0 0 0 7 0 0 2 
0 0 0 9 0 0 0 0 0 8 0 0 0 1 2 0 
